Raw Dependency Data Export
  projects.kick             1.4          dev  oodx/projects/kick/Cargo.toml

DEPENDENCY: notify, LATEST: 8.2.0
  projects.nox_server       8.0          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: pbkdf2, LATEST: 0.13.0-rc.1
  projects.prontodb         0.12         dep  oodx/projects/prontodb/Cargo.toml

DEPENDENCY: pin-project, LATEST: 1.1.10
  projects.kick             1.0          dep  oodx/projects/kick/Cargo.toml

DEPENDENCY: portable-pty, LATEST: 0.9.0
  projects.hub              0.9          dep  oodx/projects/hub/Cargo.toml
  projects.rsb              0.9          dep  oodx/projects/rsb/Cargo.toml
  padlokk.padlock_orig      0.9          dep  prods/padlokk/padlock_orig/Cargo.toml
  padlokk.cage              0.9          dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: predicates, LATEST: 3.1.3
  projects.hub              3.0          dev  oodx/projects/hub/Cargo.toml
  projects.prontodb         3.0          dev  oodx/projects/prontodb/Cargo.toml
  projects.rsb              3.0          dev  oodx/projects/rsb/Cargo.toml

DEPENDENCY: pretty_assertions, LATEST: 1.4.1
  projects.paintbox         1            dev  oodx/projects/paintbox/Cargo.toml

DEPENDENCY: rand, LATEST: 0.10.0-rc.0
  projects.hub              0.9.2        dep  oodx/projects/hub/Cargo.toml
  projects.rsb              0.9.2        dep  oodx/projects/rsb/Cargo.toml
  projects.asc100           0.9          dep  oodx/projects/asc100/Cargo.toml
  projects.asc100           0.9          dev  oodx/projects/asc100/Cargo.toml
  projects.nox_server       0.9          dep  oodx/projects/nox_server/Cargo.toml
  padlokk.padlock_orig      0.9          dep  prods/padlokk/padlock_orig/Cargo.toml

DEPENDENCY: redis, LATEST: 1.0.0-alpha.1
  projects.nox_server       0.32         dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: regex, LATEST: 1.11.2
  projects.hub              1.10.2       dep  oodx/projects/hub/Cargo.toml
  projects.rsb              1.10.2       dep  oodx/projects/rsb/Cargo.toml
  projects.asc100           1.10         dep  oodx/projects/asc100/Cargo.toml
  projects.nox_server       1.0          dep  oodx/projects/nox_server/Cargo.toml
  projects.boxy             1.11         dep  oodx/projects/boxy/Cargo.toml
  projects.jynx             1.5          dep  oodx/projects/jynx/Cargo.toml

DEPENDENCY: reqwest, LATEST: 0.12.23
  projects.nox_server       0.12         dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: rpassword, LATEST: 7.4.0
  padlokk.cage              7.3          dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: rusqlite, LATEST: 0.37.0
  projects.prontodb         0.37         dep  oodx/projects/prontodb/Cargo.toml

DEPENDENCY: serde, LATEST: 1.0.225
  projects.paintbox         1            dep  oodx/projects/paintbox/Cargo.toml
  projects.hub              1.0          dep  oodx/projects/hub/Cargo.toml
  projects.kick             1.0          dep  oodx/projects/kick/Cargo.toml
  projects.prontodb         1            dep  oodx/projects/prontodb/Cargo.toml
  projects.rsb              1.0          dep  oodx/projects/rsb/Cargo.toml
  projects.nox_server       1.0          dep  oodx/projects/nox_server/Cargo.toml
  projects.boxy             1.0          dep  oodx/projects/boxy/Cargo.toml
  projects.porty            1            dep  oodx/projects/porty/Cargo.toml
  projects.jynx             1.0          dep  oodx/projects/jynx/Cargo.toml
  padlokk.padlock_orig      1.0          dep  prods/padlokk/padlock_orig/Cargo.toml
  padlokk.cage              1.0          dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: serde_json, LATEST: 1.0.145
  projects.rolo             1.0          dep  oodx/projects/rolo/Cargo.toml
  projects.hub              1.0          dep  oodx/projects/hub/Cargo.toml
  projects.kick             1.0          dep  oodx/projects/kick/Cargo.toml
  projects.prontodb         1            dep  oodx/projects/prontodb/Cargo.toml
  projects.rsb              1.0          dep  oodx/projects/rsb/Cargo.toml
  projects.nox_server       1.0          dep  oodx/projects/nox_server/Cargo.toml
  padlokk.padlock_orig      1.0          dep  prods/padlokk/padlock_orig/Cargo.toml
  padlokk.cage              1.0          dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: serde_yaml, LATEST: 0.9.34+deprecated
  projects.paintbox         0.9          dep  oodx/projects/paintbox/Cargo.toml
  projects.nox_server       0.9          dep  oodx/projects/nox_server/Cargo.toml
  projects.boxy             0.9          dep  oodx/projects/boxy/Cargo.toml
  projects.jynx             0.9          dep  oodx/projects/jynx/Cargo.toml

DEPENDENCY: sha2, LATEST: 0.11.0-rc.2
  projects.prontodb         0.10         dep  oodx/projects/prontodb/Cargo.toml
