#------ SECTION : REPO LIST --------#
REPO_ID	REPO_NAME	PATH	PARENT	LAST_UPDATE	CARGO_VERSION
1025	103	serde_json	1.0	dep	NONE
1026	103	urlencoding	2.1.3	dep	NONE
1027	103	uuid	1.17.0	dep	v4
1028	103	assert_cmd	2.0	dev-dep	NONE
1029	103	predicates	3.0	dev-dep	NONE
1030	104	hyper	1.0	dep	full
1031	104	hyper-util	0.1	dep	full
1032	104	http-body-util	0.1	dep	NONE
1033	104	hyper-tls	0.6	dep	NONE
1034	104	tokio	1.0	dep	full
1035	104	serde	1.0	dep	derive
1036	104	serde_json	1.0	dep	NONE
1037	104	toml	0.9.5	dep	NONE
1038	104	dirs	6.0	dep	NONE
1039	104	thiserror	2.0.16	dep	NONE
1040	104	anyhow	1.0	dep	NONE
1041	104	async-trait	0.1	dep	NONE
1042	104	futures	0.3	dep	NONE
1043	104	bytes	1.0	dep	NONE
1044	104	pin-project	1.0	dep	NONE
1045	104	mime	0.3	dep	NONE
1046	104	url	2.0	dep	NONE
1047	104	uuid	1.0	dep	v4
1048	104	tracing	0.1	dep	NONE
1049	104	clap	4.0	dep	derive
1050	104	tracing-subscriber	0.3	dep	NONE
1051	104	chrono	0.4	dep	serde
1052	104	tempfile	3.0	dev-dep	NONE
1053	104	tokio-test	0.4	dev-dep	NONE
1054	104	assert_matches	1.5	dev-dep	NONE
1055	104	mockito	1.4	dev-dep	NONE
1056	104	wiremock	0.6	dev-dep	NONE
1057	105	anyhow	1	dep	NONE
1058	105	atty	0.2	dep	NONE
1059	105	directories	6	dep	NONE
1060	105	md5	0.8	dep	NONE
1061	105	rusqlite	0.37	dep	NONE
1062	105	tempfile	3	dep	NONE
1063	105	serde	1	dep	derive
1064	105	serde_json	1	dep	NONE
1065	105	rsb	path:../rsb2	dep	visuals,stdopts
1066	105	xstream	path:../xstream	dep	NONE
1067	105	zstd	0.13	dep	NONE
1068	105	aes-gcm	0.10	dep	aes
1069	105	pbkdf2	0.12	dep	NONE
1070	105	sha2	0.10	dep	NONE
1071	105	assert_cmd	2.0	dev-dep	NONE
1072	105	predicates	3.0	dev-dep	NONE
1073	106	lazy_static	1.4.0	dep	NONE
1074	106	regex	1.10.2	dep	NONE
1075	106	libc	0.2.153	dep	NONE
1076	106	chrono	0.4	dep	serde
1077	106	glob	0.3.1	dep	NONE
1078	106	rand	0.9.2	dep	NONE
1079	106	uuid	1.17.0	dep	v4
1080	106	base64	0.22	dep	NONE
1081	106	urlencoding	2.1.3	dep	NONE
1082	106	serde	1.0	dep	derive
1083	106	serde_json	1.0	dep	NONE
1084	106	portable-pty	0.9	dep	NONE
1085	106	assert_cmd	2.0	dev-dep	NONE
1086	106	predicates	3.0	dev-dep	NONE
1087	106	assert_fs	1.0	dev-dep	NONE
1088	107	rsb	git:https://github.com/oodx/rebel#main	dep	NONE
1089	107	paintbox	path:../paintbox	dep	NONE
1090	108	rand	0.9	dep	NONE
1091	108	regex	1.10	dep	NONE
1092	108	uuid	1.6	dep	v4,fast-rng
1093	108	rand	0.9	dev-dep	NONE
1094	108	uuid	1.6	dev-dep	NONE
1095	109	hyper	1.0	dep	full
1096	109	hyper-util	0.1	dep	full
1097	109	hyper-tls	0.6	dep	NONE
1098	109	tokio	1.0	dep	full
1099	109	serde	1.0	dep	derive
1100	109	serde_json	1.0	dep	NONE
1101	109	serde_yaml	0.9	dep	NONE
1102	109	thiserror	2.0.16	dep	NONE
1103	109	anyhow	1.0	dep	NONE
1104	109	async-trait	0.1	dep	NONE
1105	109	futures	0.3	dep	NONE
1106	109	bytes	1.0	dep	NONE
1107	109	clap	4.0	dep	derive
1108	109	dirs	6.0	dep	NONE
1109	109	tracing	0.1	dep	NONE
1110	109	tracing-subscriber	0.3	dep	json
1111	109	mime	0.3	dep	NONE
1112	109	mime_guess	2.0	dep	NONE
1113	109	http	1.0	dep	NONE
1114	109	http-body-util	0.1	dep	NONE
1115	109	url	2.0	dep	NONE
1116	109	handlebars	4.0	dep	NONE
1117	109	regex	1.0	dep	NONE
1118	109	chrono	0.4	dep	serde
1119	109	uuid	1.0	dep	v4,serde
1120	109	cookie	0.18	dep	secure
1121	109	sqlx	0.7	dep	runtime-tokio-rustls,sqlite,chrono,uuid
1122	109	redis	0.32	dep	NONE
1123	109	base64	0.22	dep	NONE
1124	109	rand	0.9	dep	NONE
1125	109	notify	8.0	dep	NONE
1126	109	reqwest	0.12	dep	json,stream
1127	109	tempfile	3.0	dev-dep	NONE
1128	109	tokio-test	0.4	dev-dep	NONE
1129	110	unicode-width	0.2	dep	NONE
1130	110	strip-ansi-escapes	0.2	dep	NONE
1131	110	regex	1.11	dep	NONE
1132	110	serde	1.0	dep	derive
1133	110	serde_yaml	0.9	dep	NONE
1134	110	chrono	0.4	dep	serde
1135	110	rsb	git:https://github.com/oodx/rsb#main	dep	NONE
1136	111	tokio	1	dep	full
1137	111	rsb	path:../rsb	dep	NONE
1138	111	anyhow	1	dep	NONE
1139	111	log	0.4	dep	NONE
1140	111	env_logger	0.11	dep	NONE
1141	111	serde	1	dep	derive
1142	111	toml	0.9	dep	NONE
1143	111	chrono	0.4	dep	NONE
1144	112	serde	1.0	dep	derive
1145	112	serde_yaml	0.9	dep	NONE
1146	112	regex	1.5	dep	NONE
1147	112	clap	4.0	dep	derive
1148	112	rsb	git:https://github.com/oodx/rsb#main	dep	NONE
1149	112	criterion	0.7	dev-dep	NONE
1150	113	boxy	path:../boxy	dep	NONE
1151	113	unicode-width	0.2.1	dep	NONE
1152	113	rsb	path:../rsb	dep	visuals
1153	113	libc	0.2	dep	NONE
1154	114	rolo	path:../..	dep	NONE
1155	115	rolo	path:../..	dep	NONE
1156	116	rsb	git:https://github.com/oodx/rsb#main	dep	NONE
1157	117	portable-pty	0.9	dep	NONE
1158	117	tempfile	3.8	dep	NONE
1159	117	chrono	0.4	dep	serde
1160	117	clap	4.4	dep	derive
1161	117	tokio	1.0	dep	full
1162	117	serde	1.0	dep	derive
1163	117	serde_json	1.0	dep	NONE
1164	117	thiserror	2	dep	NONE
1165	117	sha2	0.10	dep	NONE
1166	117	hex	0.4	dep	NONE
1167	117	rand	0.9	dep	NONE
1168	118	portable-pty	0.9	dep	NONE
1169	118	tempfile	3.8	dep	NONE
1170	118	chrono	0.4	dep	serde
1171	118	serde	1.0	dep	derive
1172	118	serde_json	1.0	dep	NONE
1173	118	thiserror	2	dep	NONE
1174	118	rpassword	7.3	dep	NONE
1175	118	which	6.0	dep	NONE

#------ SECTION : DEP LATEST LIST --------#
PKG_ID	PKG_NAME	LATEST_VERSION
200	aes-gcm	0.11.0-rc.1
201	anyhow	1.0.99
202	assert_cmd	2.0.17
203	assert_fs	1.1.3
204	assert_matches	1.5.0
205	async-trait	0.1.89
206	atty	0.2.14
207	base64	0.22.1
208	bitflags	2.9.4
209	bytes	1.10.1
210	chrono	0.4.42
211	clap	4.5.47
212	cookie	0.18.1
213	criterion	0.7.0
214	csv	1.3.1
215	directories	6.0.0
216	dirs	6.0.0
217	env_logger	0.11.8
218	futures	0.3.31
219	glob	0.3.3
220	handlebars	6.3.2
221	hex	0.4.3
222	http	1.3.1
223	http-body-util	0.1.3
224	hyper	1.7.0
225	hyper-tls	0.6.0
226	hyper-util	0.1.17
227	lazy_static	1.5.0
228	libc	1.0.0-alpha.1
229	log	0.4.28
230	md5	0.8.0
231	mime	0.3.17
232	mime_guess	2.0.5
233	mockito	1.7.0
234	notify	8.2.0
235	pbkdf2	0.13.0-rc.1
236	pin-project	1.1.10
237	portable-pty	0.9.0
238	predicates	3.1.3
239	pretty_assertions	1.4.1
240	rand	0.10.0-rc.0
241	redis	1.0.0-alpha.1
242	regex	1.11.2
243	reqwest	0.12.23
244	rpassword	7.4.0
245	rusqlite	0.37.0
246	serde	1.0.225
247	serde_json	1.0.145
248	serde_yaml	0.9.34+deprecated
249	sha2	0.11.0-rc.2
250	sqlx	0.8.6
251	strip-ansi-escapes	0.2.1
252	tempfile	3.22.0
253	thiserror	2.0.16
254	tokio	1.47.1
255	tokio-test	0.4.4
256	toml	0.9.7
257	tracing	0.1.41
258	tracing-subscriber	0.3.20
259	unicode-segmentation	1.12.0
260	unicode-width	0.2.1
261	url	2.5.7
262	urlencoding	2.1.3
263	uuid	1.18.1
264	which	8.0.0
265	wiremock	0.6.5
266	zstd	0.13.3

#------ SECTION : VERSION MAP LIST --------#
